Name of Painter,Subject of Painting,Style,Medium,Size,Frame,Location,Price ($),Delivery (days),Shipment,Color Palette,Copy or Original,Print or Real,Recommended Environment,Mood/Atmosphere,Theme/Lighting Requirements,Reproduction Type,Target Audience,Date
Noah,Seascape,Abstract Expressionism,Watercolor,"20""x30""",Yes,Chicago,459,6,Free Shipping,Neutral Tones,Original,Print,Bedroom,Calming,Natural Light,Screen Print,Corporate Clients,2020-01-01
Vincent,Abstract,Abstract Expressionism,Charcoal,"20""x30""",No,Miami,657,6,Free Shipping,Cool Tones,Original,Print,Living Room,Relaxing,Natural Light,,Corporate Clients,2020-01-02
Ava,Still Life,Modern,Watercolor,"18""x24""",No,Miami,907,7,Standard,Cool Tones,Original,Real,Kid Room,Joyful,Natural Light,,Corporate Clients,2020-01-03
Liam,Wildlife,Cubism,Acrylic,"18""x24""",No,Calgary,649,3,Standard,Oceanic Tones,Original,Real,Office,Reflective,Bright Light,Lithograph,Young Professionals,2020-01-04
Olivia,Landscape,Abstract Expressionism,Charcoal,"30""x40""",Yes,Miami,539,5,Free Shipping,Earthy Tones,Copy,Print,Office,Energetic,Bright Light,Lithograph,Corporate Clients,2020-01-05
Ava,Landscape,Abstract Expressionism,Watercolor,"24""x36""",No,Chicago,943,3,Free Shipping,Warm Tones,Original,Print,Gallery,Energetic,Bright Light,,Art Collectors,2020-01-06
Frida,Fantasy,Modern,Charcoal,"18""x24""",Yes,Montreal,623,4,Free Shipping,Cool Tones,Copy,Real,Living Room,Relaxing,Natural Light,Lithograph,Families,2020-01-07
Jija,Fantasy,Cubism,Watercolor,"30""x40""",No,Montreal,344,4,Free Shipping,Earthy Tones,Copy,Print,Bedroom,Reflective,Natural Light,Giclée,Interior Designers,2020-01-08
Noah,Fantasy,Surrealism,Oil,"16""x20""",Yes,Los Angeles,205,3,Free Shipping,Cool Tones,Copy,Real,Kid Room,Relaxing,Natural Light,Screen Print,Interior Designers,2020-01-09
Vincent,Landscape,Abstract Expressionism,Mixed Media,"30""x40""",Yes,Montreal,965,6,Free Shipping,Earthy Tones,Copy,Real,Gallery,Calming,Natural Light,,Interior Designers,2020-01-10
Leonardo,Portrait,Cubism,Charcoal,"18""x24""",No,Miami,663,10,Express,Earthy Tones,Original,Real,Gallery,Reflective,Bright Light,Giclée,Young Professionals,2020-01-11
Emma,Abstract,Surrealism,Acrylic,"24""x36""",Yes,Los Angeles,715,7,Standard,Oceanic Tones,Original,Print,Office,Reflective,Dim Light,,Young Professionals,2020-01-12
Pablo,Seascape,Cubism,Oil,"20""x30""",Yes,Toronto,649,6,Standard,Earthy Tones,Original,Print,Office,Relaxing,Bright Light,Screen Print,Young Professionals,2020-01-13
Pablo,Seascape,Realism,Oil,"16""x20""",Yes,Vancouver,130,4,Standard,Earthy Tones,Original,Real,Office,Relaxing,Bright Light,,Young Professionals,2020-01-14
Noah,Wildlife,Realism,Charcoal,"30""x40""",No,Miami,225,8,Free Shipping,Neutral Tones,Original,Print,Kid Room,Relaxing,Natural Light,Screen Print,Corporate Clients,2020-01-15
Liam,Wildlife,Impressionism,Watercolor,"20""x30""",Yes,New York,924,7,Free Shipping,Neutral Tones,Original,Print,Gallery,Energetic,Bright Light,Screen Print,Corporate Clients,2020-01-16
Frida,Wildlife,Modern,Acrylic,"30""x40""",No,New York,879,5,Express,Neutral Tones,Copy,Real,Gallery,Energetic,Natural Light,Lithograph,Art Collectors,2020-01-17
Emma,Landscape,Surrealism,Oil,"18""x24""",Yes,Miami,205,7,Express,Oceanic Tones,Copy,Real,Living Room,Joyful,Natural Light,Giclée,Young Professionals,2020-01-18
Emma,Still Life,Surrealism,Acrylic,"24""x36""",Yes,Los Angeles,212,10,Express,Cool Tones,Original,Real,Living Room,Calming,Natural Light,Lithograph,Young Professionals,2020-01-19
Jija,Fantasy,Cubism,Watercolor,"16""x20""",Yes,Montreal,746,3,Standard,Warm Tones,Copy,Print,Kid Room,Reflective,Bright Light,Screen Print,Families,2020-01-20
Liam,Wildlife,Surrealism,Oil,"30""x40""",Yes,Toronto,727,10,Free Shipping,Oceanic Tones,Original,Real,Kid Room,Energetic,Natural Light,,Families,2020-01-21
Frida,Portrait,Modern,Acrylic,"24""x36""",Yes,Vancouver,715,4,Standard,Neutral Tones,Copy,Print,Office,Calming,Bright Light,Screen Print,Interior Designers,2020-01-22
Leonardo,Wildlife,Modern,Watercolor,"18""x24""",Yes,Chicago,956,4,Free Shipping,Neutral Tones,Copy,Print,Kid Room,Calming,Bright Light,Lithograph,Corporate Clients,2020-01-23
Liam,Fantasy,Realism,Charcoal,"18""x24""",No,Los Angeles,891,8,Express,Neutral Tones,Original,Print,Living Room,Energetic,Natural Light,Lithograph,Interior Designers,2020-01-24
Claude,Seascape,Impressionism,Acrylic,"20""x30""",No,Montreal,875,10,Express,Warm Tones,Original,Real,Living Room,Reflective,Dim Light,Screen Print,Families,2020-01-25
Olivia,Abstract,Surrealism,Mixed Media,"20""x30""",No,Calgary,825,4,Standard,Neutral Tones,Copy,Real,Bedroom,Reflective,Natural Light,Giclée,Art Collectors,2020-01-26
Olivia,Fantasy,Surrealism,Watercolor,"20""x30""",Yes,Montreal,127,7,Free Shipping,Earthy Tones,Original,Print,Kid Room,Reflective,Dim Light,Screen Print,Young Professionals,2020-01-27
Pablo,Abstract,Surrealism,Watercolor,"24""x36""",No,New York,452,8,Express,Earthy Tones,Original,Real,Office,Calming,Dim Light,,Young Professionals,2020-01-28
Frida,Portrait,Abstract Expressionism,Mixed Media,"30""x40""",Yes,Montreal,907,6,Free Shipping,Cool Tones,Original,Print,Bedroom,Joyful,Dim Light,Giclée,Corporate Clients,2020-01-29
Ava,Still Life,Realism,Acrylic,"16""x20""",Yes,Vancouver,344,4,Express,Neutral Tones,Copy,Real,Kid Room,Reflective,Natural Light,Fine Art Print,Families,2020-01-30
Olivia,Still Life,Modern,Watercolor,"24""x36""",Yes,Calgary,339,10,Standard,Earthy Tones,Copy,Print,Kid Room,Reflective,Natural Light,Fine Art Print,Young Professionals,2020-01-31
Claude,Portrait,Impressionism,Oil,"20""x30""",Yes,Toronto,663,6,Express,Oceanic Tones,Copy,Print,Living Room,Joyful,Natural Light,Screen Print,Art Collectors,2020-02-01
Leonardo,Abstract,Abstract Expressionism,Charcoal,"16""x20""",No,Los Angeles,221,3,Express,Cool Tones,Original,Print,Bedroom,Calming,Dim Light,Giclée,Corporate Clients,2020-02-02
Frida,Landscape,Realism,Oil,"16""x20""",No,Miami,644,8,Free Shipping,Oceanic Tones,Original,Real,Office,Relaxing,Dim Light,,Interior Designers,2020-02-03
Leonardo,Wildlife,Cubism,Charcoal,"18""x24""",No,Montreal,505,5,Standard,Neutral Tones,Copy,Print,Bedroom,Joyful,Dim Light,Lithograph,Interior Designers,2020-02-04
Emma,Landscape,Impressionism,Mixed Media,"18""x24""",Yes,Chicago,505,10,Express,Warm Tones,Original,Real,Bedroom,Joyful,Bright Light,,Families,2020-02-05
Olivia,Seascape,Abstract Expressionism,Charcoal,"18""x24""",No,New York,450,3,Standard,Neutral Tones,Original,Print,Gallery,Joyful,Bright Light,,Art Collectors,2020-02-06
